STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,INDICATOR,Indicator,GEO_PICT,Pacific Island Countries and territories,SEX,Sex,AGE,Age,URBANIZATION,Urbanization,INCOME,Income,EDUCATION,Education level,OCCUPATION,Occupation,COMPOSITE_BREAKDOWN,Composite breakdown,DISABILITY,Disability,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,REPORTING_TYPE,Reporting type,NATURE,Nature,DATA_SOURCE,Data source,OBS_STATUS,Observation Status,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_SDG_03(3.0),Sustainable Development Goal 03 - Good Health and Well-Being,I,A,Annual,SH_TBS_INCD,3.3.2 Tuberculosis incidence,AS,American Samoa,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2000,,6.1,,PER_100000_POP,"per 100,000 population",G,Global,G,Global monitoring data,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),,,,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,
DATAFLOW,SPC:DF_SDG_03(3.0),Sustainable Development Goal 03 - Good Health and Well-Being,I,A,Annual,SH_TBS_INCD,3.3.2 Tuberculosis incidence,AS,American Samoa,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2001,,6,,PER_100000_POP,"per 100,000 population",G,Global,G,Global monitoring data,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),,,,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,
DATAFLOW,SPC:DF_SDG_03(3.0),Sustainable Development Goal 03 - Good Health and Well-Being,I,A,Annual,SH_TBS_INCD,3.3.2 Tuberculosis incidence,AS,American Samoa,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2002,,4,,PER_100000_POP,"per 100,000 population",G,Global,G,Global monitoring data,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),,,,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,
DATAFLOW,SPC:DF_SDG_03(3.0),Sustainable Development Goal 03 - Good Health and Well-Being,I,A,Annual,SH_TBS_INCD,3.3.2 Tuberculosis incidence,AS,American Samoa,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2003,,6.1,,PER_100000_POP,"per 100,000 population",G,Global,G,Global monitoring data,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),,,,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,
DATAFLOW,SPC:DF_SDG_03(3.0),Sustainable Development Goal 03 - Good Health and Well-Being,I,A,Annual,SH_TBS_INCD,3.3.2 Tuberculosis incidence,AS,American Samoa,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2004,,10,,PER_100000_POP,"per 100,000 population",G,Global,G,Global monitoring data,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),,,,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,
DATAFLOW,SPC:DF_SDG_03(3.0),Sustainable Development Goal 03 - Good Health and Well-Being,I,A,Annual,SH_TBS_INCD,3.3.2 Tuberculosis incidence,AS,American Samoa,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2005,,12,,PER_100000_POP,"per 100,000 population",G,Global,G,Global monitoring data,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),,,,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,
DATAFLOW,SPC:DF_SDG_03(3.0),Sustainable Development Goal 03 - Good Health and Well-Being,I,A,Annual,SH_TBS_INCD,3.3.2 Tuberculosis incidence,AS,American Samoa,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2006,,8.2,,PER_100000_POP,"per 100,000 population",G,Global,G,Global monitoring data,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),,,,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,
DATAFLOW,SPC:DF_SDG_03(3.0),Sustainable Development Goal 03 - Good Health and Well-Being,I,A,Annual,SH_TBS_INCD,3.3.2 Tuberculosis incidence,AS,American Samoa,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2007,,6.1,,PER_100000_POP,"per 100,000 population",G,Global,G,Global monitoring data,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),,,,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,
DATAFLOW,SPC:DF_SDG_03(3.0),Sustainable Development Goal 03 - Good Health and Well-Being,I,A,Annual,SH_TBS_INCD,3.3.2 Tuberculosis incidence,AS,American Samoa,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2008,,6.2,,PER_100000_POP,"per 100,000 population",G,Global,G,Global monitoring data,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),,,,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,
DATAFLOW,SPC:DF_SDG_03(3.0),Sustainable Development Goal 03 - Good Health and Well-Being,I,A,Annual,SH_TBS_INCD,3.3.2 Tuberculosis incidence,AS,American Samoa,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2009,,8.3,,PER_100000_POP,"per 100,000 population",G,Global,G,Global monitoring data,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),,,,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,
